AREA,CAR_NAME,CLASS,LAP_TIME,LINK
Metro,KOENIGSEGG GEMERA,S,0:36.371,https://youtu.be/TqwLBUShwZw?t=6
Metropolitan,KOENIGSEGG CCXR,S,0:53.507,https://youtu.be/z2zsJGQUWDc?si=azInogK_6CwtJbkR&t=8
Metropolitan,AUTOMOBILI PININFARINA BATTISTA,S,0:54.497,https://youtu.be/v9oEyN85QCo?si=dhJ3RJo1HYtF8dNY&t=8
Metropolitan,FERRARI F8 TRIBUTO,A,0:55.725,https://youtu.be/P7RDHku4aoc?si=zccflCx3qMELt9Cm&t=98
Metropolitan,VANDA ELECTRICS DENDROBIUM,A,0:55.910,https://youtu.be/kfqpytkJ_0k?si=XFt2LvXAshn7-JmW&t=7
Metropolitan,MERCEDES-BENZ AMG GT BLACK SERIES,C,0:58.693,https://youtu.be/bE_AAgf7A2E?si=bb-c3ZMGTrCpKy03&t=11
Metropolitan,GLICKENHAUS 004C,D,1:02.444,https://youtu.be/tM3Z_GYE_6U?si=EdmDO_gs-oEOIi0L&t=8
Metropolitan,PORSCHE TAYCAN TURBO S,D,1:03.994,https://youtu.be/UGo16MfXI_c?si=Kk-tzJaEbMzS6sPx&t=1011
Nanjing Stroll,PAGANI IMOLA,A,1:04.337,https://youtu.be/WQyth7aJsTM?si=D2PehKXoiGgDkuw_&t=330
Nanjing Stroll,FERRARI LAFERRARI APERTA,A,1:05.248,https://youtu.be/Km0rxJOHkSM?si=s8CBqWcsWi9Pcfgb&t=9
Nanjing Stroll,LAMBORGHINI TERZO MILLENNIO,S,1:05.388,https://youtu.be/JpatvtQH_Q4?si=PudvplML3X2mEtne&t=309
Nanjing Stroll,ASTON MARTIN VALHALLA CONCEPT CAR,A,1:05.491,https://youtu.be/AZoZscDSIOQ?t=704
Nanjing Stroll,TECHRULES AT96 TRACK VERSION,A,1:05.743,https://youtu.be/crObfEaH4nQ?t=188
Nanjing Stroll,VOLKSWAGEN W12 COUPE,B,1:05.848,https://youtu.be/uKFtbmYeWK0?si=-Q3g-seOUEmAe0lC&t=708
Nanjing Stroll,MCLAREN 570S SPIDER,A,1:06.125,https://youtu.be/crObfEaH4nQ?t=188
Nanjing Stroll,LAMBORGHINI AVENTADOR J,A,1:06.628,https://youtu.be/DjuxNtFRFvY?si=NZXwYjdst_bwYvFL&t=742
Nanjing Stroll,ASTON MARTIN DBS SUPERLEGGERA,B,1:06.685,https://youtu.be/g1queIIZAnM?t=709
Nanjing Stroll,PORSCHE CARRERA GT,B,1:07.012,https://youtu.be/rjfbXZduiNA?t=1104
Nanjing Stroll,PORSCHE 911 GT3 RS,B,1:07.307,https://youtu.be/YpPCXDfn1GQ?t=496
Nanjing Stroll,LAMBORGHINI HURACAN EVO SPYDER,B,1:07.524,https://youtu.be/PmJqCbwLGwk?t=9
Nanjing Stroll,DRAKO GTE,B,1:08.074,https://youtu.be/7bDZV_4Buis?si=O_nXUvLJpwxRdBWq&t=21
Nile River,GENTY AKYLONE,A,1:12.768,https://youtu.be/LpBP3EszW1U?t=8
Nile River,PAGANI HUAYRA R,B,1:12.955,https://youtu.be/N84csX_Sr3U?si=PwBth9tyMy9m8k3L&t=9
Nile River,MCLAREN F1 LM,B,1:13.500,https://youtu.be/UGo16MfXI_c?si=MugyYQZVxNRACLmF&t=915
Nile River,LAMBORGHINI HURACAN EVO SPYDER,B,1:15.025,https://youtu.be/F2xPXMfyXH8?t=2
Nile River,MCLAREN GT,C,1:18.730,https://youtu.be/Exj9G-DEbrM?si=wQw_zpjqVNxweu47&t=217
Nile River,TVR GRIFFITH,D,1:22.815,https://youtu.be/ThBfs-7UzHg?si=HHmeMebvcblFRxc2&t=598
Paradise Resort,HENNESSEY VENOM F5,S,0:54.771,https://youtu.be/M7szbNh4Rss?t=7
Paradise Resort,KOENIGSEGG GEMERA,S,0:56.120,https://youtu.be/EmcfuPzLews?si=L-mqm86fqAnqw1qy&t=2
Paradise Resort,KOENIGSEGG CCXR,S,0:56.755,https://youtu.be/tstQSNtc9zc?si=MBNVoZW5WryTVEtn&t=6
Paradise Resort,BUGATTI LA VOITURE NOIRE,S,0:56.756,https://youtu.be/dc1qippUb90?si=y0z0sNi6_dmY4Q58&t=355
Paradise Resort,BUGATTI CHIRON,S,0:57.299,https://youtu.be/k2faX-BHN0A
Paradise Resort,MCLAREN SPEEDTAIL,S,0:58.646,https://youtu.be/-GM5L0wE6LA?t=979
Paradise Resort,FERRARI F8 TRIBUTO,A,1:00.152,https://youtu.be/lAZazXOIK10?si=_FOHSwJkG30SQMmB
Parasol Run,KOENIGSEGG JESKO,S,1:12.605,https://youtu.be/pmBzsTelm54?t=892
Parasol Run,KOENIGSEGG GEMERA,S,1:13.602,https://youtu.be/HQxr5p-jgMc?si=pHH5OzO_T0Si4zuq&t=932
Parasol Run,PAGANI HUAYRA BC,A,1:21.075,https://youtu.be/DHQKZdswB8w?t=189
Path of Wind,FORD GT,B,1:01.889,https://youtu.be/mqiRI7wyP2Q?si=jomkKCFuFB-U8Klj&t=19
Path of Wind,ARRINERA HUSSARYA 33,C,1:02.096,https://youtu.be/59l1OpUEJMs?t=368
Path of Wind,MCLAREN GT,C,1:03.005,https://youtu.be/ioa31Z9HPtA?t=13
Path of Wind,LAMBORGHINI GALLARDO LP 560-4,C,1:03.739,https://youtu.be/ivGIEQTNHS0?si=Hac4wjGo0Gl6eVMo&t=935
Path of Wind,VENCER SARTHE,C,1:03.807,https://youtu.be/pop0WgRS5LE?t=8
Pearl of Orient,ARRINERA HUSSARYA 33,C,1:08.575,https://youtu.be/PYxwJ2QZDT8?t=18
Pearl of Orient,MERCEDES-BENZ AMG GT BLACK SERIES,C,1:08.974,https://youtu.be/SlGTlKRlhW0?t=8
Pearl of Orient,MCLAREN GT,C,1:09.126,https://youtu.be/bP4CNnmNBkI
Pearl of Orient,BUGATTI EB110,C,1:09.157,https://youtu.be/iq6BBXJx4OU?t=8
Pearl of Orient,PORSCHE PANAMERA TURBO S,C,1:09.292,https://youtu.be/4E_8BawASsU?t=8
Pier Pressure,HENNESSEY VENOM F5,S,1:02.824,https://youtu.be/udDXS06f-50?si=SAjGkSx26gWrVOgs&t=15
Pier Pressure,BUGATTI DIVO,S,1:07.268,https://youtu.be/VUC_nDUDcPA?si=svi-LNT8C-oI7C2Q&t=83
Pudong Rise,LAMBORGHINI COUNTACH LPI 800-4,A,1:05.848,https://youtu.be/2_qSuIVKW6Y?si=jd5zodGLTEJyXuGK
Pudong Rise,PAGANI IMOLA,A,1:06.269,https://youtu.be/iOUqDJfarzk?t=218
Pudong Rise,PAGANI HUAYRA BC,A,1:06.880,https://youtu.be/iUIN_7AkRzw?si=jRn3AyJWsuEzTfeJ&t=19
Pudong Rise,FERRARI F8 TRIBUTO,A,1:07.807,https://youtu.be/8rceaWcYmWk?t=411
Pudong Rise,LAMBORGHINI GALLARDO LP 560-4,C,1:10.640,https://youtu.be/pFBK0v5FJZg?t=126
Pudong Rise,MCLAREN GT,C,1:11.015,https://youtu.be/RWNq3DKCrNE?t=41
Pudong Rise,PORSCHE PANAMERA TURBO S,C,1:11.079,https://youtu.be/RWNq3DKCrNE?t=41
Pudong Rise,ARRINERA HUSSARYA 33,C,1:11.080,https://youtu.be/NAfQroEvb9A?si=Ji0BWx04HvMRj4Qq&t=3
Pudong Rise,MERCEDES-BENZ AMG GT BLACK SERIES,C,1:11.363,https://youtu.be/pFBK0v5FJZg?t=126
Pudong Rise,TVR GRIFFITH,D,1:14.835,https://youtu.be/oIPV7GwLzTw?si=YYR26ZO0hZlkUpy2
Pudong Rise,GLICKENHAUS 004C,D,1:15.952,https://youtu.be/RsXEmXkZ3hw?t=7
Pudong Rise,CHEVROLET CORVETTE C7.R,D,1:16.711,https://youtu.be/DHLYwtR3B4Q?t=385
Pudong Rise,FORD MUSTANG MACH-E1400,D,1:17.655,https://youtu.be/_XlurYjiZoU?si=KVJEpjKVXkx-F210&t=102
Purple Boulevard,KOENIGSEGG JESKO,S,0:35.811,https://youtu.be/8h6zsWLnviE
Purple Boulevard,SSC TUATARA,S,0:36.284,https://youtu.be/Gv3y8dXvxrg?t=8
Purple Boulevard,BUGATTI CHIRON,S,0:36.909,https://youtu.be/UZEg6afnMzQ?t=12
Purple Boulevard,KOENIGSEGG REGERA,S,0:37.262,https://youtu.be/PfkctrN_s6Q?t=440
Purple Boulevard,PORSCHE 911 GT3 RS,B,0:37.863,https://youtu.be/gcv8Clu6-NY?si=12eHWADupSMKvSSp&t=19
Purple Boulevard,MCLAREN SENNA,S,0:38.213,https://youtu.be/78ZSKfGLHCM?t=892
Purple Boulevard,PAGANI HUAYRA BC,A,0:39.532,https://youtu.be/7JUNpJ-4xKM?si=xoboB-LWKx5YJxwH&t=385
Purple Boulevard,PORSCHE CARRERA GT,B,0:39.757,https://youtu.be/Oyjt3l6oK8E?si=2IeYNZxKuUnY0l8_&t=743
Purple Boulevard,PURITALIA BERLINETTA,B,0:41.641,https://youtu.be/YgRWcpQFIMo?t=387
Reach for the Sky,TECHRULES AT96 TRACK VERSION,A,0:31.245,https://youtu.be/hFFg9Q_DToc?t=9
Reach for the Sky,PORSCHE 911 GT2 RS CLUBSPORT,A,0:31.817,https://youtu.be/zEPQl6NrEAA?t=911
Reach for the Sky,VANDA ELECTRICS DENDROBIUM,A,0:32.028,https://youtu.be/ivGIEQTNHS0?si=RUmCd-p5UjJc0hej&t=831
Roller Coaster Ride,HENNESSEY VENOM F5,S,0:56.199,https://youtu.be/Ksh4plfLHtg
Roller Coaster Ride,KOENIGSEGG JESKO,S,0:56.847,https://youtu.be/rBZaM5RD3zw?si=0SkN7sEogplJPYxp
Roller Coaster Ride,SSC TUATARA,S,0:57.666,https://youtu.be/L5Z-XuLnleQ?t=7
Roller Coaster Ride,ASPARK OWL,S,0:58.933,https://www.youtube.com/watch?v=GEJ0p8zfyxM
Roller Coaster Ride,BUGATTI CENTODIECI,S,0:59.022,https://youtu.be/1dUvoRtYfZw?si=OtFJd3by9d5HjuMr
Roller Coaster Ride,BUGATTI LA VOITURE NOIRE,S,0:59.148,https://youtu.be/LaKqiIG8TtQ?t=986
Roller Coaster Ride,PAGANI ZONDA R,A,1:02.701,https://youtu.be/MWf5xAeqY0Q?t=231
Roller Coaster Ride,MCLAREN 570S SPIDER,A,1:02.833,https://youtu.be/hwelMOI9tDo?t=24
Roller Coaster Ride,PAGANI HUAYRA BC,A,1:03.702,https://youtu.be/K0OUHOdYVcA?t=863
Roller Coaster Ride,CITROËN GT BY CITROEN,A,1:03.870,https://youtu.be/2O5pQlFKhlk
Roller Coaster Ride,VANDA ELECTRICS DENDROBIUM,A,1:03.936,https://youtu.be/4P1Ze_NmZIs?t=6
Roller Coaster Ride,GLICKENHAUS 004C,D,1:10.530,https://youtu.be/-4J2HYIEF9U?si=tYQV9bnlEJHCbCEO&t=2
Roller Coaster Ride,CHEVROLET CORVETTE C7.R,D,1:11.220,https://youtu.be/zEXUq_6ZEQY
Roller Coaster Ride,LAMBORGHINI HURACAN SUPER TROFEO EVO,D,1:11.599,https://youtu.be/Oh53UdQico0?si=4nWz3heX5P9ZXP9v
Roller Coaster Ride,MAZDA FURAI,D,1:11.724,https://youtu.be/mqiRI7wyP2Q?si=gt2EtnThJONy9bLi&t=115
Roller Coaster Ride,VOLKSWAGEN ELECTRIC R,D,1:11.724,https://youtu.be/hueT4TpwhaY?t=7
Roller Coaster Ride,TVR GRIFFITH,D,1:11.846,https://youtu.be/MEUDInsxmek
Rolling Motorway,BUGATTI BOLIDE,S,0:30.022,https://youtu.be/-RlBBr_4Z5g?t=9
Rolling Motorway,PAGANI HUAYRA R,B,0:32.428,https://youtu.be/UGo16MfXI_c?si=h9yrnMjfeePYaUq2&t=387
Rolling Motorway,GENTY AKYLONE,A,0:32.568,https://youtu.be/ouKp61BDf1Q?si=nEDjUapSgdxK_2_G&t=8
Rolling Motorway,LAMBORGHINI REVUELTO,B,0:32.795,https://youtu.be/418erDI0EPo?t=8
Rolling Motorway,LAMBORGHINI HURACAN EVO SPYDER,B,0:33.221,https://youtu.be/FBG556LX4Vw?si=bW56Xosj8vmB4WZR&t=1155
Rolling Motorway,LAMBORGHINI AVENTADOR J,A,0:33.292,https://youtu.be/FJHXiSIZc4E?si=wNrPvu2AGFGVouzS&t=263
Rolling Motorway,PORSCHE 911 GT3 RS,B,0:33.416,https://youtu.be/uKFtbmYeWK0?si=giBV8fpHyaE2TI5G&t=658
Rolling Motorway,APOLLO IE,B,0:33.750,https://youtu.be/ddT9iMrNJ0U?t=604
Rolling Motorway,BUGATTI EB110,C,0:35.152,https://youtu.be/jEVIr9pMs3Q?si=nVzm7idzH1iTdEct&t=225
Sacred Heart,HENNESSEY VENOM F5,S,0:49.466,https://youtu.be/DUVxj9PLyrs
Sacred Heart,RIMAC NEVERA,S,0:51.944,https://youtu.be/4S31Sue1wU8?si=1fAGStUDIrh4D30o&t=1228
Sacred Heart,BUGATTI CHIRON,S,0:52.035,https://youtu.be/ThBfs-7UzHg?si=ixWbLVASBQCXYEiD&t=685
Sacred Heart,MCLAREN F1 LM,B,0:54.147,https://youtu.be/VW_ZHkij7hA?si=LRbqQdJkvMSvOvY3&t=163
Sacred Heart,FERRARI F8 TRIBUTO,A,0:54.155,https://youtu.be/mqiRI7wyP2Q?si=6p23pbVlGv6BJgGD&t=209
Sacred Heart,LAMBORGHINI REVUELTO,B,0:54.193,https://youtu.be/dxe8KNu-CBw?si=QByH2JBYOYgrRRX1
Sacred Heart,PAGANI HUAYRA R,B,0:54.339,https://youtu.be/GNhe429ct_s?si=m9dpI4sQVvbF9G90
Sacred Heart,APOLLO N,B,0:54.938,https://youtu.be/2Z2PsAQ__0k?t=8
Sacred Heart,LAMBORGHINI HURACAN EVO SPYDER,B,0:55.025,https://youtu.be/nQxfi_y8NV8?si=4wizenmx4hmhnyzq&t=3
Sacred Heart,PORSCHE 911 GT3 RS,B,0:55.875,https://youtu.be/78ZSKfGLHCM?t=755
Sacred Heart,MASERATI MC12,C,0:57.539,https://youtu.be/L1lJ2hgMq-g?si=pRj4lZSsTQklXQW-&t=24
Saint Peter Kickoff,HENNESSEY VENOM F5,S,1:04.432,https://youtu.be/9Oz8_Kzd05I
Saint Peter Kickoff,BUGATTI LA VOITURE NOIRE,S,1:05.532,https://youtu.be/Zot8u55GhKQ
Saint Peter Kickoff,BUGATTI CHIRON,S,1:07.332,https://youtu.be/dc1qippUb90?si=BH_m6Y1HIeJ8XuFf&t=750
Saint Peter Kickoff,TVR GRIFFITH,D,1:19.567,https://youtu.be/3UBGBbydYWc?si=TP-_08eu944jWChG&t=11
Saint Peter Kickoff,GLICKENHAUS 004C,D,1:20.636,https://youtu.be/NY3r4hVfUuA?si=RDonokwO--tLGkLG&t=597
Saint Peter Kickoff,CHEVROLET CORVETTE C7.R,D,1:21.570,https://youtu.be/sr3z3TVb1mg?t=4
Saint Peter Kickoff,MAZDA FURAI,D,1:21.795,https://youtu.be/PxZuNGZEGDE?t=22
Saint Peter Kickoff,PEUGEOT SR1,D,1:23.132,https://youtu.be/4jab_Q9WYTw?t=8
Sakura Castle,GLICKENHAUS 003S,B,0:38.358,https://youtu.be/BqD0z8nCpyo?t=8
Sakura Castle,CHEVROLET CORVETTE GRAND SPORT,B,0:38.698,https://youtu.be/kEKK8muo0O0?t=308
Sakura Castle,ASTON MARTIN DB11,B,0:41.659,https://youtu.be/ddT9iMrNJ0U?si=m2n8EQz7U9MeHOBS&t=235
Shen City,CHEVROLET CORVETTE GRAND SPORT,B,0:51.823,https://youtu.be/RskUVyXoajU
Shen City,REZVANI BEAST X,C,0:55.319,https://youtu.be/fgIqmEA_wrg
Side View,LAMBORGHINI REVUELTO,B,0:42.307,https://youtu.be/WQyth7aJsTM?si=h75hrU92992_F2Sc&t=266
Slippery When Icy,MCLAREN F1 LM,B,1:08.559,https://youtu.be/7sYrutCrX1s?si=jsj6_UEZD2a3IR-E&t=8
Slippery When Icy,VOLKSWAGEN W12 COUPE,B,1:08.976,https://youtu.be/PiGrGRdIoaE?si=HscJntBj87CCG04-&t=7
Slippery When Icy,PORSCHE 911 GT3 RS,B,1:09.723,https://youtu.be/nWc_9nILndw?t=19
Slippery When Icy,LAMBORGHINI HURACAN EVO SPYDER,B,1:10.100,https://youtu.be/F3eczvSsVeo?si=vmJ6pm8P7P-tT8kB&t=189
Slippery When Icy,ASTON MARTIN DBS SUPERLEGGERA,B,1:10.244,https://youtu.be/zEPQl6NrEAA?t=744
Snow Vault,KOENIGSEGG JESKO,S,0:32.009,https://youtu.be/uycN0IQpw6A?si=i3fb627TOl4_gyP_&t=8
Snow Vault,SSC TUATARA,S,0:32.518,https://youtu.be/nk9hr_oQMcA?t=7
Snow Vault,BUGATTI CHIRON,S,0:34.112,https://youtu.be/yfvLXIeq21k?t=38
Straights & Hairpins,KOENIGSEGG GEMERA,S,1:10.472,https://youtu.be/x9p4fkena0k?si=6iYAT-QYi0kV7PHx
Streets of SF,ASTON MARTIN DBS SUPERLEGGERA,B,1:06.421,https://youtu.be/_urRYqB5XQg?si=HDgLzoZVH6N-Lfmr&t=821
The Cave,MCLAREN 600LT SPIDER,B,0:54.161,https://youtu.be/S_a8boywYWw?si=hm_X89nw8fwII3t8&t=19
The Cave,MCLAREN P1,A,0:54.701,https://youtu.be/tfbf8ca49jc?t=19
The Cave,PORSCHE PANAMERA TURBO S,C,0:55.649,https://youtu.be/q0vATbi4Fn0?si=Hd_eh6GEhbw-qCsa&t=7
The Cave,MCLAREN GT,C,0:56.335,https://youtu.be/KdF20WmWQtc?t=16
The Cave,BRABHAM BT62,C,0:56.377,https://youtu.be/EGj3ByhXohQ
The Cave,MERCEDES-BENZ AMG GT BLACK SERIES,C,0:56.392,https://youtu.be/oXliWo0NDz0?t=8
The Cave,FERRARI 599XX EVO,C,0:56.599,https://youtu.be/1gLYepWl1BA?t=19
The Cave,ARTEGA SCALO SUPERELLETRA,C,0:57.072,https://youtu.be/Qct5xozI4ik?t=25
The City that Never Sleeps,PORSCHE PANAMERA TURBO S,C,109552,https://youtu.be/ltxOuLdqPAo?si=itbXp54nJh9rXpSY&t=10
The City that Never Sleeps,MCLAREN GT,C,1:09.675,https://youtu.be/ltxOuLdqPAo?si=E7-53cBU9GkWXckt&t=99
The City that Never Sleeps,FERRARI 599XX EVO,C,1:09.929,https://youtu.be/3fktVHqFrBU?si=UOWmYG8Uv4-X5Lbj&t=23
The City that Never Sleeps,LAMBORGHINI GALLARDO LP 560-4,C,1:09.938,https://youtu.be/rjfbXZduiNA?t=151
The Enchanted Island,HENNESSEY VENOM F5,S,0:41.067,https://youtu.be/Oyjt3l6oK8E?si=lklRt6NPx8fhp_Wy&t=325
Thousand Minarets,ASTON MARTIN VALKYRIE,S,1:09.950,https://youtu.be/DjuxNtFRFvY?si=P-TMwEZ5byyS-OhP&t=193
Thousand Minarets,ASTON MARTIN VALHALLA CONCEPT CAR,A,1:10.462,https://youtu.be/TuKVeFtWXEo?si=p3pYTbZYNNAnI1MV&t=7
Thousand Minarets,RIMAC CONCEPT_ONE,A,1:10.770,https://youtu.be/P7RDHku4aoc?si=5Z7Xz8HhkOVhBOxz&t=651
Thousand Minarets,TECHRULES AT96 TRACK VERSION,A,1:11.211,https://youtu.be/3LGsC3kUYqw?si=HJjJFy3TXP8onifu&t=14
Thousand Minarets,LAMBORGHINI AVENTADOR J,A,1:13.243,https://youtu.be/BqFkBWmj8nE?si=TRksEX6-HVWO9UcU&t=180
Thousand Minarets,ASTON MARTIN DBS SUPERLEGGERA,B,1:13.254,https://youtu.be/HQxr5p-jgMc?si=6BeDccEJh9BWAxWq&t=530
Thousand Minarets,ASTON MARTIN ONE77,B,1:14.045,https://youtu.be/Oyjt3l6oK8E?si=aVAT6Rfu6JytwqB1&t=573
Thousand Minarets,LAMBORGHINI HURACAN EVO SPYDER,B,1:12.985,https://youtu.be/ycUZ9XklPPk?si=CRLOt1LWCq7itYwf&t=16
Thousand Minarets,LAMBORGHINI GALLARDO LP 560-4,C,1:15.195,https://youtu.be/iWOKke7H00U?si=zrQjGLOuA7IPB7hi
Thousand Minarets,ARRINERA HUSSARYA 33,C,1:15.350,https://streamable.com/v8jpnh
Thousand Minarets,BUGATTI EB110,C,1:15.371,https://youtu.be/Pvvs-RXVLT0
Thousand Minarets,MCLAREN GT,C,1:15.430,https://youtu.be/UGo16MfXI_c?si=xQ3kv5aznDhkff1f&t=586
Thousand Minarets,MERCEDES-BENZ AMG GT BLACK SERIES,C,1:15.680,https://youtu.be/pFBK0v5FJZg?t=38
Thousand Minarets,PORSCHE PANAMERA TURBO S,C,1:15.884,https://youtu.be/XDEDfOo68I8?t=40
Thousand Minarets,TVR GRIFFITH,D,1:20.017,https://youtu.be/WLb782Ot9BY?si=TDk4Z3P-OxnL3Wlr&t=3
Thousand Minarets,GLICKENHAUS 004C,D,1:21.738,https://youtu.be/UGku90ucfwM?si=nbt6NCr6gQ_cCemN&t=6
Thousand Minarets,CHEVROLET CORVETTE C7.R,D,1:22.004,https://youtu.be/RC_SVBtmgz4?si=XJCibC9h_oqBrpWt&t=3
Thousand Minarets,MAZDA FURAI,D,1:22.113,https://youtu.be/3KxWohT7Qgc?t=14
Thousand Minarets,FORD MUSTANG MACH-E1400,D,1:22.274,https://youtu.be/_XlurYjiZoU?si=jnM1jYvlL69yUasY&t=10
Through the center,SSC TUATARA,S,0:36.470,https://youtu.be/_urRYqB5XQg?si=S_DQa2z63gm4ma4R&t=191
Tiber Stream,KOENIGSEGG JESKO,S,0:56.977,https://www.bilibili.com/video/BV1au4y1N7yg/?share_source=copy_web&t=5
Tiber Stream,KOENIGSEGG CCXR,S,1:00.351,https://youtu.be/ki15vBmOlpI?si=0U8J-BEq1ELFeprd&t=7
Tiber Stream,CHEVROLET CORVETTE GRAND SPORT,B,1:06.976,https://youtu.be/2Q7ye8f-KzY?t=387
Tiber Stream,ACURA NSX GT3 EVO,C,1:08.358,https://youtu.be/DLOFOwSzXnY?si=8bpip4hMsyUVgk6e&t=834
Tiber Stream,GLICKENHAUS 004C,D,1:10.820,https://youtu.be/C164aucDHzg?si=wbgawvSbu7-dbrin&t=1
Tiber Stream,LAMBORGHINI HURACAN SUPER TROFEO EVO,D,1:11.167,https://youtu.be/6V_JOWfO-Sw?t=4
Tiber Stream,VOLKSWAGEN ELECTRIC R,D,1:11.941,https://youtu.be/B8i5BCIVEnM?t=7
Tiber Stream,MAZDA FURAI,D,1:11.983,https://youtu.be/rX6dp2ka8nk?t=22
Tiber Stream,RENAULT TREZOR,D,1:12.078,https://streamable.com/5edop5
Tiber Stream,GINETTA G60,D,1:13.357,https://youtu.be/zD8y7joL5OI?t=9
Time Travel,LAMBORGHINI MURCIELAGO LP 640 ROADSTER,B,0:35.151,https://youtu.be/Oyjt3l6oK8E?si=Ng4VH-YukfhSE_Ot&t=103
To the docks,KOENIGSEGG GEMERA,S,0:30.551,https://youtu.be/yeVYPF0JEUI?si=480DHHOLzZ5KZ0dn&t=8
To the docks,KOENIGSEGG JESKO,S,0:31.889,https://youtu.be/BGG-x-k022Q?t=736
To the docks,PURITALIA BERLINETTA,B,0:32.771,https://youtu.be/P7RDHku4aoc?si=ZCCf-Asd4s248d_P&t=833
To the docks,PAGANI HUAYRA BC,A,0:33.098,https://youtu.be/7zMm638MTXs
To the docks,MASERATI ALFIERI,C,0:35.947,https://youtu.be/Yl8pxUgU2es?si=y3PjnxFKpp1UnX64&t=14
To the Eiffel,MCLAREN 600LT SPIDER,B,0:38.780,https://youtu.be/n4egvGzc3VM?si=09lY6F5ioxPmFaI5
To the Eiffel,MCLAREN P1,A,0:39.399,https://youtu.be/JpatvtQH_Q4?si=ZBDzsEaAoqHC5uVE&t=8
Top Run,BUGATTI CHIRON,S,0:43.566,https://youtu.be/QGd6KAxMu8s?t=588
Transcontinental Race,RIMAC NEVERA,S,0:59.505,https://www.bilibili.com/video/BV1494y1L7xr/?t=30
Transcontinental Race,VANDA ELECTRICS DENDROBIUM,A,1:03.234,https://youtu.be/dy_49UN8EIw?si=OEc3MbOREK_F-h3H&t=5
Under Construction,RIMAC NEVERA,S,0:48.335,https://youtu.be/NaA88K1AwFY?si=SIhMuqFCZNNVqS6s
Under Construction,KOENIGSEGG CCXR,S,0:49.736,https://youtu.be/vgvCy_AOmWw?si=P8-0QbMwx0x9SPJA&t=155
Under Construction,PAGANI IMOLA,A,0:51.303,https://youtu.be/EJ00KM4lWhs?si=cN_3vWHmC7ilUjAC&t=8
Under Construction,ASTON MARTIN VALHALLA CONCEPT CAR,A,0:51.947,https://youtu.be/uKFtbmYeWK0?si=ou-VoDSodh85IEdT&t=793
Under Construction,LAMBORGHINI AVENTADOR J,A,0:52.732,https://youtu.be/dc1qippUb90?si=vvTWzD794XHMpB4k&t=298
Under Construction,PORSCHE 911 GT3 RS,B,0:52.911,https://youtu.be/KhGlWZ_vasc?si=EJglzjTnkvzpB_ha&t=6
Under Construction,MCLAREN F1 LM,B,0:52.986,https://youtu.be/i6hBTy2DGDI?t=6
Under Construction,LAMBORGHINI HURACAN EVO SPYDER,B,0:53.038,https://youtu.be/kvgdthDqI_8?t=7
Under Construction,VOLKSWAGEN W12 COUPE,B,0:53.204,https://youtu.be/AeFLClJ98wA?t=221
Under Construction,FERRARI 812 SUPERFAST,A,0:54.619,https://youtu.be/ddT9iMrNJ0U?t=862
Under Construction,BENTLEY CONTINENTAL GT SPEED,A,0:54.862,https://youtu.be/anHKLNRuhdk?t=92
Uptown,HENNESSEY VENOM F5,S,1:00.223,https://youtu.be/B_uU58ONlk4?t=7
Uptown,BUGATTI CHIRON,S,1:01.822,https://youtu.be/0fCrUhdyNz8?t=5
Uptown,SSC TUATARA,S,1:03.432,https://youtu.be/qsGoa5MPtcs?t=11
Uptown,PORSCHE 911 GT3 RS,B,1:06.804,https://youtu.be/8f8SFR3GBnQ?t=348
Uptown,PORSCHE 911 GT2 RS CLUBSPORT,A,1:07.085,https://youtu.be/8_ysHMETLlg?t=421
Uptown,PORSCHE CARRERA GT,B,1:07.553,https://www.youtube.com/live/4CD_iLmoJiE?feature=share&t=10229
Uptown,LAMBORGHINI GALLARDO LP 560-4,C,1:08.993,https://youtu.be/w2SGKlEXtVw?t=24
Uptown,FERRARI 599XX EVO,C,1:09.681,https://youtu.be/nvELgOzZfpY
Uptown,ARRINERA HUSSARYA 33,C,1:09.719,https://youtu.be/sTnCm07gc8g?t=5
Uptown,MCLAREN GT,C,1:10.399,https://youtu.be/4jjv6PyMNsQ
Uptown,BRABHAM BT62,C,1:10.530,https://youtu.be/1QJoELKtlLM?t=10
Uptown,VENCER SARTHE,C,1:10.624,https://youtu.be/WoV4stN7AYs?t=4
Uptown,PORSCHE 718 CAYMAN GT4 CLUBSPORT,C,1:10.929,https://youtu.be/nlcnAX4AgfU
Volcano run,BUGATTI LA VOITURE NOIRE,S,1:10.194,https://youtu.be/L-TpX4sTyb0
Volcano run,LAMBORGHINI SIAN FKP 37,S,1:14.434,https://youtu.be/kfeyoluTegY?si=JDMngAP6dRFAIk8M&t=7
Volcano run,MCLAREN 570S SPIDER,A,1:16.009,https://youtu.be/akJrByhuyo0?t=919
Volcano run,GENTY AKYLONE,A,1:16.746,https://youtu.be/i5s-tmZJq7U?si=NJV1noqT7ss8Dt_4&t=8
Whirlwind Curve,KOENIGSEGG GEMERA,S,1:06.176,https://youtu.be/RmuHUcP9GcY?si=-0PvCzwU731LXCBX&t=797
Whirlwind Curve,KOENIGSEGG CCXR,S,1:06.273,https://youtu.be/yCx3jQ2h3is?t=8
Whirlwind Curve,AUTOMOBILI PININFARINA BATTISTA,S,1:08.567,https://youtu.be/tjqDauHmCxU?si=c9paHfQV2VnTjz8X&t=219
