AREA,CAR_NAME,CLASS,LAP_TIME,LINK
Beach Landing,ZENVO TSR-S,B,1:10.953,https://youtu.be/OXc9DTaoKUs
Beach Landing,APEX AP-0,B,1:12.010,https://youtu.be/qBOpFLyqOhw?t=3
Big Passions,VANDA ELECTRICS DENDROBIUM,A,0:41.930,https://youtu.be/wmeEeBPYI1A?si=VZFnB7_Zf7i3W6Tj&t=12
Big Passions,GLICKENHAUS 007S,A,0:42.041,https://youtu.be/OXkQE51qysM?si=fraMnXVbm3LlSFOU&t=8
Big Passions,FERRARI LAFERRARI APERTA,A,0:44.177,https://youtu.be/VnZc3a1VtBA?t=701
Big Passions,FERRARI FXX K,S,0:46.630,https://youtu.be/2QVyWPBoqvU
Big Passions,VOLKSWAGEN ELECTRIC R,D,0:47.017,https://youtu.be/YfieWdWb06w?si=RjKwPCEy8egpGPe7&t=7
Big Passions,GLICKENHAUS 004C,D,0:47.388,https://youtu.be/SJsm2pCjK4s?si=Vw_75SijdfHonpme&t=18
Big Passions,BENTLEY CONTINENTAL GT3,D,0:48.611,https://youtu.be/8NIMbfS3kkI?t=474
Bread and Circuses,FERRARI LAFERRARI,A,0:33.829,https://youtu.be/kcy_TLqRCGM?si=JuB1qlwKYCWcMrQd&t=174
Bread and Circuses,FERRARI F12TDF,B,0:33.856,https://youtu.be/Rc-npQ-ZN4A?t=643
Bridges of Paris,HENNESSEY VENOM F5,S,1:07.499,https://youtu.be/Pm0k7dQcl6c
Bridges of Paris,KOENIGSEGG JESKO,S,1:11.685,https://youtu.be/zEPQl6NrEAA?t=961
Bridges of Paris,RIMAC NEVERA,S,1:14.167,https://youtu.be/-GM5L0wE6LA?t=1271
Bridges of Paris,LAMBORGHINI SIAN FKP 37,S,1:14.172,https://youtu.be/IGwjOgbXI3E?si=CQf8vpbpIkkHWGeI&t=3
Bridges of Paris,AUTOMOBILI PININFARINA BATTISTA,S,1:15.107,https://youtu.be/rtlQKsfr8jY?t=324
Bridges of Paris,LAMBORGHINI EGOISTA,S,1:17.920,https://youtu.be/Nku2kn7cYIg?si=eUEi8SznD0Yb72nb&t=437
Bridges of Paris,VANDA ELECTRICS DENDROBIUM,A,1:18.078,https://youtu.be/Exj9G-DEbrM?si=azXyIKnKHrlMPDI4&t=386
Cairo Tower Finish,BUGATTI CHIRON,S,0:30.860,https://youtu.be/p9-ndk6nFSQ?t=9
Cairo Tower Finish,BUGATTI DIVO,S,0:32.841,https://youtu.be/HQxr5p-jgMc?si=NY7G_nR5Xfh8nxHB&t=875
Cairo Tower Finish,ARRINERA HUSSARYA 33,C,0:34.431,https://youtu.be/ThBfs-7UzHg?si=ht-jOYTS5frSNgOC&t=440
Cairo Tower Finish,PORSCHE PANAMERA TURBO S,C,0:34.706,https://youtu.be/cLt6WJ9ackM?t=55
Cairo Tower Finish,MERCEDES-BENZ AMG GT BLACK SERIES,C,0:34.817,https://youtu.be/NIeoysmgbQA?t=52
Cairo Tower Finish,MCLAREN GT,C,0:34.865,https://youtu.be/WHAY1qRVDww?t=15
Cairo Tower Finish,LAMBORGHINI GALLARDO LP 560-4,C,0:35.341,https://youtu.be/S2G6fKAKMeA
Canyon Launch,JAGUAR XJR-9,A,1:08.601,https://youtu.be/QGd6KAxMu8s?t=144
Canyon Launch,JAGUAR XJ220S TWR,S,1:10.652,https://youtu.be/Rc-npQ-ZN4A?t=66
Canyon Launch,LAMBORGHINI GALLARDO LP 560-4,C,1:12.966,https://youtu.be/zEPQl6NrEAA?t=205
Canyon Launch,ARRINERA HUSSARYA 33,C,1:13.415,https://youtu.be/OaKj2ns1umk?t=7
Canyon Launch,PORSCHE PANAMERA TURBO S,C,1:14.676,https://www.youtube.com/live/VM4CVcedFHc?feature=share&t=150
Canyon Launch,ACURA NSX GT3 EVO,C,1:15.250,https://youtu.be/Atgqj7ix48Q?si=NDlm1pB067vtwWi6&t=59
Canyon Launch,PININFARINA H2 SPEED,C,1:16.083,https://youtu.be/4THp2deK19U?t=645
Canyon Launch,GLICKENHAUS 004C,D,1:17.478,https://youtu.be/j2GGz8yNg0E
Canyon Launch,TVR GRIFFITH,D,1:17.550,https://youtu.be/HeTXI55mV3g
Canyon Launch,LAMBORGHINI HURACAN SUPER TROFEO EVO,D,1:18.908,https://youtu.be/K5ueq_r7n6Q?t=7
Canyon Launch,VOLKSWAGEN ELECTRIC R,D,1:19.435,https://youtu.be/RgxoURzs5YU?t=18
Canyon Launch,CHEVROLET CORVETTE C7.R,D,1:19.676,https://youtu.be/NEJs986ToJA?si=4CH_zo0hvHrhbXoR
City by the Bay,RIMAC CONCEPT_ONE,A,0:57.596,https://youtu.be/ThBfs-7UzHg?si=S9ULKAF82eiubkLx&t=741
City by the Bay,GENTY AKYLONE,A,0:58.433,https://youtu.be/iqtHrUOS6TE?t=22
City by the Bay,LAMBORGHINI MURCIELAGO LP 640 ROADSTER,B,1:01.443,https://youtu.be/-GM5L0wE6LA?t=569
City by the Bay,LAMBORGHINI GALLARDO LP 560-4,C,1:01.821,https://youtu.be/ljiItvkIFd8?t=8
City by the Bay,MERCEDES-BENZ AMG GT BLACK SERIES,C,1:01.915,https://youtu.be/aytesYdAzKg?si=DHD6mT1pOn6UFkfx&t=9
City by the Bay,MCLAREN GT,C,1:02.110,https://youtu.be/e1q9As9sMDA?t=2
City by the Bay,BRABHAM BT62,C,1:02.128,https://youtu.be/hNoHGBqYXWU?t=10
City by the Bay,FERRARI 599XX EVO,C,1:02.227,https://youtu.be/SvbczE-N9lo?t=20
City by the Bay,PORSCHE PANAMERA TURBO S,C,1:02.428,https://youtu.be/6uufyNSfT4M?si=IJG-9SiTK8Z7lRY_&t=101
City by the Bay,CHEVROLET CORVETTE STINGRAY,C,1:03.049,https://youtu.be/G5BmjTyJnuA?t=95
Cliffhanger,BUGATTI BOLIDE,S,1:00.141,https://youtu.be/B5s22hR6WLc?si=H_a_61v5-XLgt4Fh&t=15
Cliffhanger,BUGATTI LA VOITURE NOIRE,S,1:01.479,https://youtu.be/J6q0-PRPzd8?si=ehiLrUV6q8a7rAtc&t=3
Cliffhanger,JAGUAR XJR-9,A,1:06.036,https://youtu.be/ROR5JNiCnh0?si=r0qtGCjdjPLnQxB7&t=9
Cliffhanger,LAMBORGHINI COUNTACH LPI 800-4,A,1:06.124,https://youtu.be/S1QDVbfayMQ?si=7aY9bwPsG7qe7pQG&t=15
Cliffhanger,PAGANI IMOLA,A,1:06.609,https://youtu.be/uKFtbmYeWK0?si=rblTwPMlZrvCRK2B&t=158
Cliffhanger,PAGANI HUAYRA R,B,1:06.617,https://youtu.be/BGG-x-k022Q?t=561
Cliffhanger,VOLKSWAGEN W12 COUPE,B,1:07.668,https://youtu.be/PDaqhWidD58?si=GiVfrM5JTu3biP48
Cliffhanger,DODGE VIPER GTS,A,1:09.644,https://youtu.be/w5ucXp6DCBs?si=4bucC3JAfd7ms8j8&t=9
Cliffhanger,TVR GRIFFITH,D,1:13.402,https://youtu.be/Edp0LoSNSP8
Cliffhanger,GLICKENHAUS 004C,D,1:15.761,https://youtu.be/dO_Mf9iIYg0?t=19
Cliffhanger,CHEVROLET CORVETTE C7.R,D,1:16.023,https://www.youtube.com/watch?v=ANUnKRCjmQ4&t=5s
Cliffhanger,MAZDA FURAI,D,1:16.624,https://youtu.be/LoxOOPkT_n4?t=26
Dam Buster,KOENIGSEGG JESKO,S,1:14.123,https://youtu.be/UNc5f7q4L_0?t=423
