CAR_NAME,AREA,CLASS,LAP TIME,LINK
ICONA VULCANO TITANIUM,Freedom Route,S,1:42.612,https://youtu.be/XalBSz5nJ_Q?si=g2_SVJ5dJVcvmF8Y&t=20
INFINITI PROJECT BLACK S,Urban Exodus,D,1:48.711,https://youtu.be/3U8Gf7_k_kc?si=Ia5wt4SM9rX_JSoB&t=15
ITALDESIGN ZEROUNO,Welcome to Osaka,B,1:47.044,https://youtu.be/Gdiv6mlm1I4?si=8hxbj4GmQ5EoM3Jx&t=23
JAGUAR F-TYPE SVR,The Windmills,B,1:49.310,https://youtu.be/TQWLNTMlXyo?si=ZW8CAQYS2XkVvM5C&t=8
LAMBORGHINI AVENTADOR SV COUPE,Complete Tour,A,1:30.210,https://youtu.be/NEv0AAsnEGY?si=P0sJYC9cHQCplLlT&t=18
LAMBORGHINI MIURA CONCEPT,Scenic Route,C,1:35.154,https://youtu.be/8LtT34JyOvg?si=M58qwc9dalajaD3K&t=19
LOTUS ELISE SPRINT 220,Scenic Route,D,1:41.469,https://youtu.be/As3F1PWZ63c?si=k-hZuT3y0izQLKCm&t=3
MASERATI ALFIERI,Asphalt Cave!,C,1:44.089,https://youtu.be/yTy4iTYwoVc?si=ObspwWJPgPoHkNUg&t=8
MAZDA FURAI,Navajo Nation,D,1:42.734,https://youtu.be/mMDtEeT_9Qg?si=31siXp30s6Cu1Zfr
MCLAREN P1,All-Inclusive,A,1:32.040,https://youtu.be/sIhteeFesYQ?si=bwryUwPV7n2ioOcU&t=33
NIO EP9,The Narrows,A,1:37.791,https://youtu.be/aUOwy08KLj4?si=CLx1XfDHc42m7Acr&t=13
NISSAN GT R NISMO,Bridge Finale,A,1:37.015,https://youtu.be/fAzStgLqCzA?si=btaWtwkRcQWeK91Y&t=23
PAGANI ZONDA HP BARCHETTA,The Circuit,A,1:34.240,https://youtu.be/YHuoSPZFZH4?si=H4crkmH8BkDZDF_h&t=6
PEUGEOT SR1,Icebergs & Lava,D,2:04.128,https://youtu.be/QsjuonG5_1o?si=3VxImHw1tUkXlhFf&t=21
PININFARINA H2 SPEED,People's Square Dash,C,1:57.680,https://youtu.be/5p1n1GNkgLI?si=P7Q9PWqYsr3vPo62&t=10
PORSCHE 718 CAYMAN GT4 CLUBSPORT,All-Inclusive,C,1:35.417,https://youtu.be/FPb3NijH2FY?si=3XfzC7xnP1OyKag2&t=9
PORSCHE 911 GT1 EVOLUTION,Pharaoh's Games,B,1:48.949,https://youtu.be/f2-aiaREoSk?si=h_dhfUu6tXjHfa77&t=8
PORSCHE 911 TARGA 4S,Shopping Spree,D,1:42.126,https://youtu.be/W-5Qhq58QQQ?si=HS1kn1jifxyOPihJ&t=13
PORSCHE BOXSTER 25TH,Coastal Loop,C,2:06.701,https://youtu.be/p383dZvAz_4?si=2MlsnNly5MxitIoi
PORSCHE PANAMERA TURBO S,City Cruise,C,1:35.545,https://youtu.be/yt-2rQ_jBgU?si=xnLfERMYuWN7Mm9L
PORSCHE TAYCAN TURBO S,Scenic Route,D,1:39.991,https://youtu.be/d6WWJibt4dU?si=smT6kJZbwKGEqShi&t=8
PURITALIA BERLINETTA,Complete Tour,B,1:31.195,https://youtu.be/jm_5w10zI-M?si=uT9hzgOgpPGa2u6y&t=26
RENAULT TREZOR,The Circuit,D,1:44.557,https://youtu.be/EoLCvjwI3Oo?si=YVEH0pqZBQ8ERBLX&t=20
TVR GRIFFITH,The Windmills,D,1:53.769,https://youtu.be/RSqivIKrgCI?si=8uwweqkvyl-rqOaH&t=6
VENCER SARTHE,Navajo Nation,C,1:35.527,https://youtu.be/gAdYJzg_Cbk?si=r48aV60oFhSYG82y
