TYPE,AREA,CAR_NAME,CLASS,LAP TIME,LINK
Weekly Competition,City by the Bay,CHEVROLET CORVETTE C7.R,D,1:05.507,https://youtu.be/-VlGUDirrdQ?t=8
Weekly Competition,City by the Bay,LAMBORGHINI HURACAN SUPER TROFEO EVO,D,1:05.530,https://youtu.be/PBtcUMddHyM?t=13
Weekly Competition,City by the Bay,VOLKSWAGEN ELECTRIC R,D,1:06.308,https://youtu.be/mKkGSVjnjCw
Weekly Competition,City by the Bay,MAZDA FURAI,D,1:06.812,https://youtu.be/udOzIrWRXhk?t=14
Weekly Competition,City by the Bay,TVR GRIFFITH,D,1:07.540,https://youtu.be/tyVECSINl0w?t=10
Weekly Competition,City by the Bay,BMW I8 ROADSTER,D,1:07.984,https://youtu.be/8-zcnEt1rSc?t=29
Weekly Competition,City by the Bay,PORSCHE TAYCAN TURBO S,D,1:08.110,https://youtu.be/F8vSHZXpNEU?t=8
Weekly Competition,City by the Bay,LOTUS ELISE SPRINT 220,D,1:08.598,https://youtu.be/hSR4CW2LHM0?t=10
Weekly Competition,Desert life,GLICKENHAUS 004C,D,1:22.201,https://youtu.be/Tg_whharJF4?t=23
Weekly Competition,Desert life,LAMBORGHINI HURACAN SUPER TROFEO EVO,D,1:22.570,https://youtu.be/tsZQ2209ik0?t=7
Weekly Competition,Desert life,TVR GRIFFITH,D,1:22.578,https://youtu.be/lvPHJTDOLZY?t=8
Weekly Competition,Desert life,MAZDA FURAI,D,1:22.791,https://streamable.com/c0sjhj
Weekly Competition,Desert life,BENTLEY CONTINENTAL GT3,D,1:22.928,https://youtu.be/AByQxD4DMj4?t=10
Weekly Competition,Desert life,VOLKSWAGEN ELECTRIC R,D,1:23.410,https://youtu.be/I3gzcZAJE9c?t=16
Weekly Competition,Desert life,PORSCHE TAYCAN TURBO S,D,1:23.854,https://youtu.be/4MNX-ukvFOE?t=7
Weekly Competition,Desert life,LOTUS ELISE SPRINT 220,D,1:26.319,https://youtu.be/hzl2G5hgJb0?t=22
